order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
3a3aed58b078ba2d2105cd76ce7a76d7,4df922283e840682df69a70aed95807d,canceled,2017-05-25 16:12:51,,,,2017-06-16
80fd1b0b81771253d43532f41d575d39,d981162ce1ef6f63978f2240a8d2b545,canceled,2017-10-29 18:02:37,,,,2017-11-28
0fb9645c128ac84788798f0129496ca7,80a4c819314e5ff01e66ba8780857b4e,canceled,2018-08-21 10:15:51,,,,2018-09-04
7002a78c79c519ac54022d4f8a65e6e8,d5de688c321096d15508faae67a27051,delivered,2017-01-19 22:26:59,,2017-01-27 11:08:05,2017-02-06 14:22:19,2017-03-16
3f6509ff22303ff04b9bf1b2c8bf69c6,496a97eab481772b61371ad4f2d392c0,canceled,2018-08-13 19:21:19,,,,2018-08-17
392ed9afd714e3c74767d0c4d3e3f477,2823ffda607a2316375088e0d00005ec,canceled,2018-09-29 09:13:03,,,,2018-10-15
3bd3b4d482f916c2c9662b8da6f2758b,e1053f60223f6446d021fc034d81f5a3,canceled,2018-08-20 15:07:42,,,,2018-09-04
52ffca67c47f7bc4350f82b1d2c20dec,30b783882dd8572d3cf6a4ac7e605272,canceled,2017-11-26 18:42:08,,,,2017-12-20
4608a27e9e60c05b054631def491e7af,4fc51f554378926d8ca80aa1b1d13b1b,canceled,2018-08-28 08:10:22,,,,2018-09-12
afb61112fb99b07fe17e591c68c0c84c,36b182c39933d55e307096ccc3fd2970,canceled,2018-09-06 10:48:12,,,,2018-09-19
27667a063cb59b5d987a5a71c192cce5,abaee92d4978f8216173d5d632867746,canceled,2018-08-27 19:54:54,,,,2018-09-06
e5215415bb6f76fe3b7cb68103a0d1c0,b6f6cbfc126f1ae6723fe2f9b3751208,canceled,2016-10-22 08:25:27,,,,2016-10-24
ade919610216d8fcd6333ce3696449a4,d7e2e0a2eaefbf557a9886e0c2032ace,canceled,2017-09-24 18:32:25,,,,2017-10-23
74e198a81e758ec637a42e8f2e856927,cf4ac5bebc177cc2f3accbcd7e12bd50,canceled,2018-08-18 09:27:28,,,,2018-09-17
35de4050331c6c644cddc86f4f2d0d64,4ee64f4bfc542546f422da0aeb462853,created,2017-12-05 01:07:58,,,,2018-01-08
c549f0d88f33bfe43351b893f1fb55ac,ea26950075411d4c3569a71853ee7388,canceled,2016-10-06 13:21:05,,,,2016-11-16
dd38e535112fb5094b53b1997c4eda52,806f601fd9936f4d97179a15b3b4c3ad,canceled,2018-08-13 13:01:54,,,,2018-08-21
90ab3e7d52544ec7bc3363c82689965f,7d61b9f4f216052ba664f22e9c504ef1,created,2017-11-06 13:12:34,,,,2017-12-01
aed488062a3d349252ffe2961e214551,4479ae32bee6820fdc3d2129c2fb5d10,canceled,2017-10-16 09:09:13,,,,2017-11-08
9bd5312d12f48b04a460f702baff3d8c,4d145fd1d3245cbb3697dd41b4bcf19b,canceled,2016-10-06 20:43:30,,,,2016-11-16
10a045cdf6a5650c21e9cfeb60384c16,a4b417188addbc05b26b72d5e44837a1,canceled,2018-10-17 17:30:18,,,,2018-10-30
